segment,pickup_day,trips,avg_distance,avg_fare
manhattan,2024-01-06,85883,2.2582109381367723,14.347743558096534
other,2024-01-06,3818,7.801118386589842,34.976094814038774
airport,2024-01-07,5086,15.752648446716462,60.645762878489926
manhattan,2024-01-07,55800,2.4379195340501925,14.319775089605528
other,2024-01-07,4129,8.218374909178962,35.746221845483255
airport,2024-01-08,4626,15.417334630350231,60.536606139213234
manhattan,2024-01-08,68084,2.3025979672169616,14.472278068268627
other,2024-01-08,4764,8.56306675062971,37.922304785894156
airport,2024-01-09,3567,14.919001962433445,58.91795065881704
manhattan,2024-01-09,83848,2.0529003673313606,14.209866782749758
other,2024-01-09,4050,7.8801506172839595,36.45858765432098
airport,2024-01-10,3842,15.69446642373763,61.34087714731911
manhattan,2024-01-10,83324,2.2358489750851986,14.579282559646737
other,2024-01-10,5355,8.500683473389353,38.00789169000932
airport,2024-01-11,4436,15.688857078449034,61.733428764652906
manhattan,2024-01-11,91975,2.310632671921721,15.240620059798816
other,2024-01-11,5576,8.499616212338596,39.25594691535148
airport,2024-01-12,4607,16.208434990232238,62.9402626438029
manhattan,2024-01-12,90425,2.2898799004700146,14.97713751727951
other,2024-01-12,5703,8.57067508328949,39.72227073470115
airport,2024-01-13,4270,15.92074707259951,61.851442622950735
manhattan,2024-01-13,93522,2.1969675584354764,14.50757468830884
other,2024-01-13,3882,8.03096342091704,37.11614116434818
airport,2024-01-14,4472,15.715176654740596,60.89964892665476
manhattan,2024-01-14,82007,2.30872486495056,14.419607838355263
other,2024-01-14,4881,7.870172095881994,35.43885064535956
airport,2024-01-15,5182,16.253471632574332,62.80515824006176
manhattan,2024-01-15,64339,2.31533502230373,14.270310076314576
other,2024-01-15,4848,8.546666666666633,37.67193275577555
airport,2024-01-16,4823,15.285413642960823,59.86693759071111
manhattan,2024-01-16,80222,2.2177668220687665,15.357183565605594
other,2024-01-16,5236,8.29521199388847,37.34355423987753
airport,2024-01-17,3962,15.45962140333165,60.85150176678445
manhattan,2024-01-17,97309,2.1876000164424605,15.274576144035702
other,2024-01-17,5733,8.404524681667533,38.71735740450028
airport,2024-01-18,3712,15.367513469827584,60.63834590517245
manhattan,2024-01-18,98129,2.229925913848096,15.187102895168664
other,2024-01-18,5333,8.306932308269277,38.71975623476471
airport,2024-01-19,3569,15.956012888764366,62.259462034183166
manhattan,2024-01-19,85201,2.1777149329233265,14.382767925259252
other,2024-01-19,4275,8.179270175438612,36.93762339181286
airport,2024-01-20,3593,15.831013080990846,61.09616198163095
manhattan,2024-01-20,98346,2.1219893030728247,14.176198015170923
other,2024-01-20,3567,7.139669189795343,33.560860667227395
airport,2024-01-21,4720,15.801177966101692,61.09448093220337
manhattan,2024-01-21,71701,2.31856529197641,14.224157822066578
other,2024-01-21,5091,8.1086132390493,36.295387939501126
airport,2024-01-22,4701,15.682684535205297,61.33904275686015
manhattan,2024-01-22,72517,2.1763619565067667,14.316314105657895
other,2024-01-22,5512,8.461984760522457,37.57203374455739
airport,2024-01-23,3480,15.362617816091987,60.046974137931066
manhattan,2024-01-23,88826,2.167162655078464,14.96086213496047
other,2024-01-23,4766,8.359039026437259,38.7146013428451
airport,2024-01-24,3254,15.607741241548862,61.26962507682853
manhattan,2024-01-24,94244,2.2159355502737426,15.146457917745412
other,2024-01-24,4785,8.488562173458732,38.65030721003132
airport,2024-01-25,3594,15.61754590984976,61.531841958820195
manhattan,2024-01-25,98272,2.3029598461413334,15.57582872028686
other,2024-01-25,5301,8.59405583852101,39.56942275042444
airport,2024-01-26,3582,15.79864321608035,62.006552205471785
manhattan,2024-01-26,93948,2.2752047941414197,15.070592987610027
other,2024-01-26,5099,8.38414591096292,38.81641106099239
airport,2024-01-27,3180,15.55696226415092,60.198987421383706
manhattan,2024-01-27,100903,2.2672176248476137,15.01833364716606
other,2024-01-27,3155,7.166481774960373,33.77832646592707
airport,2024-01-28,4343,15.692551231867352,60.77175454754771
manhattan,2024-01-28,80190,2.3255578002244603,14.52157401172216
other,2024-01-28,5127,7.928681490150184,35.928544958065125
airport,2024-01-29,4400,15.493352272727279,60.66262954545448
manhattan,2024-01-29,72086,2.2283752739783043,14.436987625891385
other,2024-01-29,5398,8.575592812152657,38.74857539829573
airport,2024-01-30,3321,15.32419150858173,60.07433303221924
manhattan,2024-01-30,90531,2.161595365123541,14.673020843689121
other,2024-01-30,4526,8.467050375607606,39.51074458683169
airport,2024-01-31,3143,15.4222271714922,60.43974546611512
manhattan,2024-01-31,91711,2.2278892390225824,15.108900568088934
other,2024-01-31,4560,8.267817982456135,38.060785087719275
manhattan,2024-02-01,2,1.6600000000000001,10.7
other,2024-02-01,1,8.93,36.6
