pickup_hour,zone_id,trips,hour_of_week,mean,std,z
2024-01-10 03:00:00,132,98,51,9.222222222222221,6.459751934999392,13.743217800171784
2024-01-01 05:00:00,90,39,5,6.125,2.4206145913796355,13.581261600700675
2024-01-01 00:00:00,249,218,0,46.625,12.78610085209717,13.403226048533094
2024-01-01 05:00:00,158,18,5,2.25,1.1989578808281798,13.136408085595711
2024-01-01 01:00:00,166,36,1,2.857142857142857,2.531435020952764,13.09251743320793
2024-01-01 03:00:00,145,15,3,1.4285714285714286,1.0497813183356477,12.927862531355663
2024-01-01 04:00:00,163,57,4,9.25,3.6996621467371855,12.906583927430182
2024-01-01 01:00:00,244,29,1,2.75,2.0463381929681126,12.827791657412048
2024-01-01 02:00:00,24,20,2,2.0,1.4142135623730951,12.727922061357855
2024-01-15 02:00:00,114,49,2,10.375,3.0388114452858046,12.710561578251284
2024-01-15 02:00:00,249,74,2,19.0,4.330127018922194,12.701705922171765
2024-01-16 14:00:00,246,259,38,105.25,12.132085558550928,12.67300657071562
2024-01-15 15:00:00,7,15,15,2.5,1.0,12.5
2024-01-01 00:00:00,164,147,0,28.0,9.539392014169456,12.474589556990828
2024-01-01 00:00:00,261,29,0,3.125,2.0879116360612584,12.392765839847467
2024-01-01 05:00:00,114,15,5,2.2857142857142856,1.0301575072754257,12.342079366011347
2024-01-01 02:00:00,186,85,2,10.0,6.103277807866851,12.288478807785609
2024-01-04 16:00:00,152,29,88,5.0,2.0,12.0
2024-01-01 04:00:00,141,52,4,8.5,3.640054944640259,11.950369063535945
2024-01-01 05:00:00,226,15,5,2.7142857142857144,1.0301575072754257,11.926054218842424
2024-01-01 00:00:00,75,36,0,5.25,2.6339134382131846,11.674643347755739
2024-01-01 03:00:00,125,33,3,6.625,2.2878756522153907,11.52816149534203
2024-01-01 01:00:00,42,26,1,2.5,2.0615528128088303,11.39917437670765
2024-01-01 01:00:00,48,156,1,41.5,10.222524150130436,11.200756126219474
2024-01-16 13:00:00,246,256,37,98.875,14.039564630001886,11.191586359040743
2024-01-30 00:00:00,68,148,24,36.625,10.135796712641785,10.988282732731655
2024-01-01 00:00:00,144,70,0,9.625,5.498579361980693,10.980108865474623
2024-01-16 12:00:00,246,213,36,86.0,11.61895003862225,10.930419665963155
2024-01-01 01:00:00,24,18,1,2.2,1.469693845669907,10.750538315548393
2024-01-15 01:00:00,90,37,1,12.125,2.368411915187052,10.502818297988265
2024-01-01 04:00:00,263,43,4,7.75,3.418698582794336,10.310941180192541
2024-01-17 00:00:00,70,37,48,6.25,2.9895651857753496,10.285776723087217
2024-01-01 01:00:00,116,19,1,2.25,1.6393596310755,10.217404212284514
2024-01-04 16:00:00,116,16,88,2.125,1.3635890143294642,10.175353317013146
2024-01-15 01:00:00,79,75,1,26.125,4.807221130757353,10.16699641447532
2024-01-15 00:00:00,158,45,0,10.375,3.42554740151118,10.10787355758825
2024-01-02 03:00:00,132,62,27,9.0,5.244044240850758,10.106703446003278
2024-01-01 00:00:00,163,139,0,25.75,11.288821904875636,10.032047715367659
2024-01-01 04:00:00,237,28,4,5.625,2.2325713874364688,10.022075946109792
2024-01-01 00:00:00,162,136,0,25.75,11.110243021644486,9.92327528616753
2024-01-01 04:00:00,239,26,4,4.875,2.1469455046647083,9.839560414598937
2024-01-01 04:00:00,229,35,4,6.375,2.912795049432761,9.827330627183827
2024-01-05 08:00:00,152,21,104,3.375,1.79843682124227,9.800177460682514
2024-01-01 00:00:00,68,176,0,44.375,13.499421283892136,9.750417979551345
2024-01-01 03:00:00,7,17,3,2.0,1.5491933384829668,9.682458365518542
2024-01-01 04:00:00,261,12,4,2.0,1.0690449676496976,9.354143466934852
2024-01-31 08:00:00,4,21,56,5.625,1.653594569415369,9.29792603602699
2024-01-01 12:00:00,232,19,12,3.0,1.7320508075688772,9.237604307034013
2024-01-15 03:00:00,79,33,3,13.5,2.1213203435596424,9.19238815542512
2024-01-01 00:00:00,114,181,0,49.75,14.57523584714841,9.005000082086395
2024-01-15 01:00:00,114,66,1,22.625,5.048205126577168,8.592162741494922
2024-01-05 19:00:00,152,11,115,2.5,1.0,8.5
2024-01-24 00:00:00,186,221,48,62.111111111111114,18.693102973167193,8.499866989282848
2024-01-01 05:00:00,234,27,5,5.25,2.5860201081971503,8.410607454697272
2024-01-05 12:00:00,152,13,108,2.4444444444444446,1.2570787221094177,8.396893026590252
2024-01-01 05:00:00,164,55,5,9.125,5.464373248598599,8.395290349495282
2024-01-15 00:00:00,249,153,0,46.625,12.78610085209717,8.319580866011425
2024-01-01 00:00:00,48,144,0,54.625,10.839020942871178,8.245670939383315
2024-01-15 00:00:00,142,76,0,21.625,6.613197033205649,8.222195668294269
2024-01-04 17:00:00,116,14,89,2.111111111111111,1.4487116456005884,8.206525380666864
2024-01-01 06:00:00,50,27,6,7.0,2.449489742783178,8.16496580927726
2024-01-15 02:00:00,137,13,2,3.25,1.1989578808281798,8.132062148225916
2024-01-16 15:00:00,246,251,39,117.375,16.461603050735977,8.117374692376986
2024-01-16 11:00:00,246,171,35,75.75,11.808365678619543,8.066315237210302
2024-01-05 12:00:00,24,44,108,14.11111111111111,3.725123247608935,8.02359731535697
2024-01-15 03:00:00,249,44,3,12.75,3.897114317029974,8.018753738744802
2024-01-04 18:00:00,152,25,90,5.0,2.494438257849294,8.017837257372733
2024-01-01 06:00:00,246,20,6,5.666666666666667,1.7950549357115013,7.984899541613229
2024-01-01 05:00:00,107,41,5,12.375,3.6033838263498934,7.943921985406745
2024-01-01 04:00:00,142,26,4,6.125,2.521780125229002,7.881337393836094
2024-01-04 16:00:00,41,53,88,11.777777777777779,5.328701692569688,7.7358847615174735
2024-01-28 10:00:00,75,80,154,33.111111111111114,6.099989880582579,7.686715848192647
2024-01-01 04:00:00,143,13,4,1.6666666666666667,1.4907119849998596,7.602631123499287
